학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3189-03-00   ,3,경영정보시스템 ,,,,,임일,"월3,4/수4",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⑤⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3189-04-00   ,3,경영정보시스템 ,,,,,임일,"월7,8/수8",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3189-05-00   ,3,경영정보시스템 ,,,,,김승현,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⒝",O
경영대학,경영학전공,,,,"3,4",전선,2000,BIZ2113-01-00   ,3,경영수학(1) ,,,,,서승범,"월7,8/수8",실시간온라인/경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3105-01-00   ,3,회사법 ,,,,,문상일,"금1,2,3",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3105-02-00   ,3,회사법 ,,,,,김유돈,"수1,2,3",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3107-01-00   ,3,법인세법 ,,,,,이승원,"금1,2,3",경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3109-01-00   ,3,중급회계(1) ,,,,,김수인,"화1/목2,3",경영B201/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3109-02-00   ,3,중급회계(1) ,,,,,김수인,"화4/목5,6",경영B202/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3110-01-00   ,3,원가회계 ,,,,,문두철,"월3,4/수4",실시간온라인/경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3119-01-00   ,3,기업재무 ,,,,,신진영,"월7,8/수8",동영상콘텐츠/경영103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3119-02-00   ,3,기업재무 ,,,,,이지윤,"화7/목8,9",실시간온라인/경영B205,"javascript:OpenList5(""H1"",""20202"",""0202"");, 1617②⑦⒝",O
