학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
문과대학,사학전공,,,,2,전선,2000,HIS2703-01-00   ,3,영국사 ,,,,,이영석,"화5,6,7",백S111,"javascript:OpenList5(""H1"",""20202"",""0121"");, ⑤⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3110-01-00   ,3,한국중세사회경제사 ,,,,,윤석호,"금5,6,7/금5,6,7",동영상콘텐츠/위414,"javascript:OpenList5(""H1"",""20202"",""0121"");, ①③⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3111-01-00   ,3,한국중세지성의세계 ,,,,,"도현철,이상민","월3,4,수4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0121"");, ③⑦⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3117-01-00   ,3,근대한국과제국주의 ,,,,,"이기훈,이정윤","화8,9/목7",위414/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0121"");, ③⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3402-01-00   ,3,중국중세의정치와문화 ,,,,,방향숙,"월3,4,5",백S111,"javascript:OpenList5(""H1"",""20202"",""0121"");, ④⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3403-01-00   ,3,중국근세의사회와문화 ,,,,,"차혜원,박찬근","화2,3/목1",교406/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0121"");, ④⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3416-01-00   ,3,20세기일본 ,,,,,방광석,"목2,3,4",백S111,"javascript:OpenList5(""H1"",""20202"",""0121"");, ④⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3426-01-00   ,3,내륙아시아사 ,,,,,이훈,"수1,2,3",백S111,"javascript:OpenList5(""H1"",""20202"",""0121"");, ④⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3701-01-00   ,3,서양고전고대 ,,,,,이혜민,"월3,4/수4",교306/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0121"");, ⑤⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3733-01-00   ,3,이탈리아사 ,,,,,라영순,"목7,8,9",백S111,"javascript:OpenList5(""H1"",""20202"",""0121"");, ⑤⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3986-01-00   ,3,유라시아고고학 ,,,,,조태섭,"수3/금3,4",동영상콘텐츠/교306,"javascript:OpenList5(""H1"",""20202"",""0121"");, ①③⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,3000,HIS3991-01-00   ,3,고대한국과동아시아세계 ,,,,,신가영,"화7/목8,9",실시간온라인/교306,"javascript:OpenList5(""H1"",""20202"",""0121"");, ③⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,4000,HIS4402-01-00   ,3,중국과아시아 ,,,,,장수지,"월7,8/수8",동영상콘텐츠/교406,"javascript:OpenList5(""H1"",""20202"",""0121"");, ①④⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,4000,HIS4804-01-00   ,3,제3세계의등장과도전 ,,,,,이재원,수3/금3/금4,교406/동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0121"");, ①⑤⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,4000,HIS4807-01-00   ,3,역사논리및논술 ,,,,,박소연,,,"javascript:OpenList5(""H1"",""20202"",""0121"");, ①③④⑤⑥⒝",O
문과대학,사학전공,,,,"3,4",전선,4000,HIS4810-01-00   ,3,분단한국의지성사 ,,,,,이하나,"월5,6/수6",동영상콘텐츠/위211,"javascript:OpenList5(""H1"",""20202"",""0121"");, ①③⑧⒝",O
문과대학,사학전공,,,,"3,4",전선,4000,HIS4811-01-00   ,3,소비의역사 ,,,,,설혜심,"화4,목5,6",위414,"javascript:OpenList5(""H1"",""20202"",""0121"");, ⑤⒝",O
문과대학,철학전공,,,,0,전기,1000,PHI1001-01-00   ,3,서양철학의이해 ,,,,,선우환,"월5,6,수6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ①⑥⒝",O
문과대학,철학전공,,,,1,전기,1000,PHI1002-01-00   ,3,동양의가치와철학 ,,,,,최경순,"수5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⓒ①④⒝",O
문과대학,철학전공,,,,2,전필,2000,PHI2151-01-00   ,3,중국고대철학 ,,,,,김명석,"화1,목2,3",외01,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,2,전필,2000,PHI2259-01-00   ,3,논리학 ,,,,,우환식,"수1/금1,2",외01/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,2,전필,2000,PHI2261-01-00   ,3,중국근세철학 ,,,,,신규탁,"화4/목5,6",외01/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,2,전선,2000,PHI2260-01-00   ,3,철학교육방법론 ,,,,,전현희,"월7,8,수8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,3,전필,3000,PHI3274-01-00   ,3,불교철학사 ,,,,,박인석,"화8,9/목7",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0122"");, ①⒝",O
문과대학,철학전공,,,,3,전선,3000,PHI3281-01-00   ,3,여성주의의철학 ,,,,,이정은,"화2,3,목1",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ①⒝",O
문과대학,철학전공,,,,"3,4",전필,4000,PHI4266-01-00   ,3,형이상학 ,,,,,김동규,"화7,목8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,"3,4",전선,3000,PHI3208-01-00   ,3,헤겔철학 ,,,,,남기호,"월1,2/수2",외01/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,"3,4",전선,3000,PHI3264-01-00   ,3,심리철학 ,,,,,이선형,"수5,금5,6",위415,"javascript:OpenList5(""H1"",""20202"",""0122"");, ①⒝",O
문과대학,철학전공,,,,"3,4",전선,3000,PHI3270-01-00   ,3,동아시아예술철학 ,,,,,강여울,"월3,4/수4",위415/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,"3,4",전선,3000,PHI3271-01-00   ,3,문화철학 ,,,,,홍사현,"월7,8/수8",외01/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,"3,4",전선,4000,PHI4209-01-00   ,3,텍스트의철학 ,,,,,홍진기,"화7,목8,9",외02,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,"3,4",전선,4000,PHI4256-01-00   ,3,그리스철학특강 ,,,,,홍사현,"수7/금7,8",동영상콘텐츠/외01,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,"3,4",전선,4000,PHI4262-01-00   ,3,토마스아퀴나스철학 ,,,,,"이재경,김선영","화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,철학전공,,,,"3,4",전선,4000,PHI4265-01-00   ,3,사회철학 ,,,,,정현철,"수3,금3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0122"");, ①⒝",O
문과대학,철학전공,,,,"3,4",전선,4000,PHI4267-01-00   ,3,응용윤리학 ,,,,,강철,"월9,10,수10",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0122"");, ⒝",O
문과대학,문헌정보학전공,,,,1,전기,1000,LIS1102-01-00   ,3,정보기술론 ,,,,,허고은,"월7,8/수8",실시간온라인/위416,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,2,전선,2000,LIS2001-01-00   ,1,UT세미나(문헌정보학진로탐색세미나) ,,,,,채현수,화4,위416,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒞",O
문과대학,문헌정보학전공,,,,2,전선,2000,LIS2601-01-00   ,3,장서개발론 ,,,,,박상애,"월10,11,12",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,2,전선,2000,LIS2805-01-00   ,3,정보이용자교육론 ,,,,,전정현,"수5/금5,6",실시간온라인/위416,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,2,전선,2000,LIS2806-01-00   ,3,정보시스템분석 ,,,,,허고은,"화2,3,목1",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,3,전선,3000,LIS3304-01-00   ,3,도서관정보센터경영의실제 ,,,,,김기영,"수3/금3,4",실시간온라인/위416,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⓓ①⒝",O
문과대학,문헌정보학전공,,,,3,전선,3000,LIS3605-01-00   ,3,정보조직론:목록 ,,,,,조성원,"화10,11/화12",위416/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,3,전선,3000,LIS3612-01-00   ,3,정보서비스평가 ,,,,,감미아,목4,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,3,전선,3000,LIS3806-01-00   ,3,사회정보학 ,,,,,박지홍,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,3,전선,3000,LIS3814-01-00   ,3,정보이용자론 ,,,,,이선희,"목10,11,12",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,4,전선,4000,LIS4302-01-00   ,3,공공도서관경영 ,,,,,감미아,목6,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,4,전선,4000,LIS4701-01-00   ,3,정보검색론 ,,,,,문성빈,"화7,목8,9",위416,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,4,전선,4000,LIS4704-01-00   ,3,소셜네트워크서비스론 ,,,,,전정현,"수7/금7,8",실시간온라인/위416,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,문헌정보학전공,,,,4,전선,4000,LIS4801-01-00   ,3,디지털도서관구축론 ,,,,,이지연,수4,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0131"");, ⒝",O
문과대학,심리학전공,,,,0,전선,4000,PSY4125-01-00   ,3,지각및정신물리학실습 ,,,,,"박수진,홍인재","월3,4/수3",실시간온라인/위B05,"javascript:OpenList5(""H1"",""20202"",""0142"");, ②⒝",O
문과대학,심리학전공,,,,2,전필,2000,PSY2103-01-00   ,3,심리학개론 ,,,,,"김민식,이기학,손영우,서은국,정경미,송현주,이동귀,이도준,한상훈,김영훈,박수현,박수진,정상철,허주연","금2,3,4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0142"");, 17⑥⑨⒝",O
문과대학,심리학전공,,,,2,전필,2000,PSY2104-01-00   ,3,심리학의실험연구방법 ,,,,,김민식,"화4/목5,6",실시간온라인/위B05,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,2,전필,2000,PSY2104-02-00   ,3,심리학의실험연구방법 ,,,,,박수진,"월6/수5,6",실시간온라인/위202,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,2,전선,2000,PSY2001-01-00   ,1,주니어세미나(마음연구법) ,,,,,김민식,수8,유405,"javascript:OpenList5(""H1"",""20202"",""0142"");, 19⒞",O
문과대학,심리학전공,,,,2,전선,3000,PSY3113-01-00   ,3,문화심리 ,,,,,김영훈,"화2,3/목3",위B05/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,3,전필,3000,PSY3122-01-00   ,3,심리통계 ,,,,,한광희,"화1/목2,3",교604/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,3,전필,3000,PSY3122-02-00   ,3,심리통계 ,,,,,김민선,"수3,4/목4",실시간온라인/교604,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,3,전필,3000,PSY3122-03-00   ,3,심리통계 ,,,,,정예슬,"수6,7/목7",동영상콘텐츠/교604,"javascript:OpenList5(""H1"",""20202"",""0142"");, ①③⒝",O
문과대학,심리학전공,,,,3,전선,3000,PSY3103-01-00   ,3,동기와정서 ,,,,,박지영,"화6,7/목8",위B05/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,3,전선,3000,PSY3126-01-00   ,3,이상심리학 ,,,,,박수현,"월3,4/수3",실시간온라인/위B09,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,3,전선,3000,PSY3133-01-00   ,3,조직심리학 ,,,,,이경수,"수8,9/금8",실시간온라인/위B05,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,3,전선,3000,PSY3163-01-00   ,3,완벽주의와정신건강 ,,,,,이동귀,"화5,6/목4",실시간온라인/외110,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
