학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
교육과학대학,체육교육학전공,,,,3,전기,4000,PED4806-01-00   ,1,골프교수법(1) ,,,,,박완용,"화3,4",골프장,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전기,4000,PED4806-02-00   ,1,골프교수법(1) ,,,,,이광호,"수3,4",골프장,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,2000,PED2102-01-00   ,1,배구교수법(2) ,,,,,최성배,"월3,4",체조장(체308),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3809-01-00   ,1,스포츠상해재활실습 ,,,,,정희성,"금7,8(금7,8)",스포츠(휘트니스센터)(스포츠(휘트니스센터검사실)),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,3,전선,2000,TTP2009-01-00   ,1,교육봉사활동(2) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3509-01-00   ,2,특수교육학개론 ,,,,,박재범,"목11,12",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3808-01-00   ,2,교육평가 ,,,,,김주아,"월1,2",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3208-01-00   ,3,스포츠상해재활 ,,,,,이세용,"월5,6,금5",스포츠108,"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3210-01-00   ,3,체육교과교육과정및평가 ,,,,,이한주,"목3,4(목3,4)",스포츠315(체육관),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,3000,PED3503-01-00   ,3,교육사회 ,,,,,방재임,"수2,3/수4",동영상콘텐츠/체104,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⒝",O
교육과학대학,체육교육학전공,,,,3,전선,4000,PED4206-01-00   ,3,운동학습및제어 ,,,,,육동원,"화5,6,7",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,3,전선,4000,PED4206-02-00   ,3,운동학습및제어 ,운동부,,,,육동원,"화10,11,12",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑦⒝",O
교육과학대학,체육교육학전공,,,,4,전기,1000,PED1111-01-00   ,1,축구교수법 ,,,,,오태한,"월1,2",운동장(신촌),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,4,전기,1000,PED1111-02-00   ,1,축구교수법 ,,,,,오태한,"월3,4",운동장(신촌),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,4,전기,1000,PED1115-01-00   ,1,한국무용교수법 ,,,,,곽정운,"금3,4",무용실(체401),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,4,전기,4000,PED4201-01-00   ,3,졸업평가 ,,,,,,"수7,8,9(수7,8,9(수7,8,9)",체조장(체308)(수영장(신촌)(운동장(신촌)),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑧⒝",O
교육과학대학,체육교육학전공,,,,4,전선,2000,TTP2008-01-00   ,1,교육봉사활동(1) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,4,전선,4000,TTP4007-01-00   ,1,교육현장연구지도 ,,,,,고래억,수10,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⓔ⒝",O
교육과학대학,체육교육학전공,,,,4,전선,4000,PED4207-01-00   ,3,체육교재연구및지도법 ,,,,,"이한주,이경수","목8,9,10(목8,9,10)",스포츠302(스포츠(구기장)),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,4,전선,4000,PED4207-02-00   ,3,체육교재연구및지도법 ,,,,,"이한주,김우영","화8/화9,10",동영상콘텐츠/체육관,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전기,1000,SLS1104-01-00   ,1,수영(1) ,,,,,윤용진,"목7,8(목7,8)",스포츠108(수영장(신촌)),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⑧⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전기,1000,SLS1201-01-00   ,3,스포츠응용산업학개론 ,운동부,,,,진지형,"목11/목12,13",체104/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1005"");, ①⑦⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전선,1000,SLS1115-01-00   ,1,배드민턴 ,,,,,이세중,"월3,4",스포츠(구기장),"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒝",O
교육과학대학,스포츠응용산업전공,,,,1,전선,2000,SLS2106-01-00   ,1,태권도(2) ,,,,,조광민,"수5,6",스포츠(구기장),"javascript:OpenList5(""H1"",""20202"",""1005"");, ②⒝",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2001-01-00   ,1,주니어세미나(스포츠와세대간교류) ,,,,,허진무,수5,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⑧⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-01-00   ,1,UT세미나(4차혁명시대문화예술창작과교육) ,,,,,최명진,월6,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
교육과학대학,스포츠응용산업전공,,,,2,전선,2000,SLS2002-02-00   ,1,UT세미나(레저와행복추구) ,,,,,전성범,화4,체104,"javascript:OpenList5(""H1"",""20202"",""1005"");, ⒞",O
